category	filename	title
scriptbase_j	the-wrestler-2008-film	The Wrestler (2008 film)
scriptbase_j	snow-falling-on-cedars-film	Snow Falling on Cedars (film)
scriptbase_j	mumford-film	Mumford (film)
scriptbase_j	celeste-and-jesse-forever	Celeste and Jesse Forever
scriptbase_j	the-fabulous-baker-boys	The Fabulous Baker Boys
scriptbase_j	the-corruptor	The Corruptor
scriptbase_j	blade-film	Blade (film)
scriptbase_j	capote-film	Capote (film)
scriptbase_j	the-invention-of-lying	The Invention of Lying
scriptbase_j	lone-star-1996-film	Lone Star (1996 film)
scriptbase_j	hitchcock-film	Hitchcock (film)
scriptbase_j	horrible-bosses	Horrible Bosses
scriptbase_j	bad-dreams-film	Bad Dreams (film)
scriptbase_j	black-swan-film	Black Swan (film)
scriptbase_j	mash-film	MASH (film)
scriptbase_j	the-horse-whisperer-film	The Horse Whisperer (film)
scriptbase_j	tall-in-the-saddle	Tall in the Saddle
scriptbase_j	house-of-1000-corpses	House of 1000 Corpses
scriptbase_j	philadelphia-film	Philadelphia (film)
scriptbase_j	the-bodyguard-1992-film	The Bodyguard (1992 film)
scriptbase_j	crouching-tiger-hidden-dragon	Crouching Tiger, Hidden Dragon
scriptbase_j	lake-placid-film	Lake Placid (film)
scriptbase_j	happiness-1998-film	Happiness (1998 film)
scriptbase_j	sling-blade	Sling Blade
scriptbase_j	a-nightmare-on-elm-street-5-the-dream-child	A Nightmare on Elm Street 5: The Dream Child
scriptbase_j	goodfellas	Goodfellas
scriptbase_j	human-nature-film	Human Nature (film)
scriptbase_j	the-last-temptation-of-christ-film	The Last Temptation of Christ (film)
scriptbase_j	return-of-the-jedi	Return of the Jedi
scriptbase_j	12-and-holding	12 and Holding
scriptbase_j	the-shipping-news-film	The Shipping News (film)
scriptbase_j	above-the-law-film	Above the Law (film)
scriptbase_j	ticker-2001-film	Ticker (2001 film)
scriptbase_j	the-patriot-2000-film	The Patriot (2000 film)
scriptbase_j	feast-film	Feast (film)
scriptbase_j	halloween-4-the-return-of-michael-myers	Halloween 4: The Return of Michael Myers
scriptbase_j	la-confidential-film	L.A. Confidential (film)
scriptbase_j	gattaca	Gattaca
scriptbase_j	panther-film	Panther (film)
scriptbase_j	city-of-joy-film	City of Joy (film)
scriptbase_j	wild-things	Wild Things
scriptbase_j	traffic-2000-film	Traffic (2000 film)
scriptbase_j	rocky	Rocky
scriptbase_j	punch-drunk-love	Punch-Drunk Love
scriptbase_j	go-1999-film	Go (1999 film)
scriptbase_j	fair-game-2010-film	Fair Game (2010 film)
scriptbase_j	fatal-instinct	Fatal Instinct
scriptbase_j	grand-theft-parsons	Grand Theft Parsons
scriptbase_j	jay-and-silent-bob-strike-back	Jay and Silent Bob Strike Back
scriptbase_j	made-for-each-other-1939-film	Made for Each Other (1939 film)
scriptbase_j	sleepless-in-seattle	Sleepless in Seattle
scriptbase_j	legion-2010-film	Legion (2010 film)
scriptbase_j	the-white-ribbon	The White Ribbon
scriptbase_j	kids-film	Kids (film)
scriptbase_j	sense-and-sensibility-film	Sense and Sensibility (film)
scriptbase_j	election-1999-film	Election (1999 film)
scriptbase_j	the-salton-sea	The Salton Sea
scriptbase_j	the-jacket	The Jacket
scriptbase_j	hellbound-hellraiser-ii	Hellbound: Hellraiser II
scriptbase_j	conan-the-barbarian-2011-film	Conan the Barbarian (2011 film)
scriptbase_j	ghostbusters-ii	Ghostbusters II
scriptbase_j	halloween-the-curse-of-michael-myers	Halloween: The Curse of Michael Myers
scriptbase_j	the-perks-of-being-a-wallflower-film	The Perks of Being a Wallflower (film)
scriptbase_j	the-losers-film	The Losers (film)
scriptbase_j	the-postman-film	The Postman (film)
scriptbase_j	copycat-film	Copycat (film)
scriptbase_j	perfect-creature	Perfect Creature
scriptbase_j	dead-poets-society	Dead Poets Society
scriptbase_j	the-rocky-horror-picture-show	The Rocky Horror Picture Show
scriptbase_j	the-graduate	The Graduate
