category	filename	title	file_line_no	turn_line_no	scene_id	line_type	line_no	new_line_no	speaker_label	scene_speaker_id	anno	line_text
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	0		S0	ACTION	A0	A0				OPEN AT ELDER GILMORE RESIDENCE
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	1		S0	ACTION	A1	A1				[Lorelai, Richard and Emily are sitting in the living room]
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	2	L0	S0	DIALOGUE	D0	D0	LORELAI	0	T0	Mom, I swear, it was Aunt Maureen.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	3	L1	S0	DIALOGUE	D1	D1	EMILY	1	D0	Aunt Maureen would never hike up her skirt in public.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	4	L2	S0	DIALOGUE	D2	D2	LORELAI	0	D1	She would after half a gallon of eggnog.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	5	L3	S0	DIALOGUE	D3	D3	EMILY	1	D2	Richard, who was the one who got drunk at our Christmas party and hiked up her skirt in front of the Town and Country photographer?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	6	L4	S0	DIALOGUE	D4	D4	RICHARD	2	D3	I’m sorry, did you say something?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	7	L5	S0	DIALOGUE	D5	D5	LORELAI	0	D4	I don’t know about you, Mom, but I’ve never felt so fascinating in my entire life.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	8		S0	ACTION	A2	A2				[Rory walks in]
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	9	L6	S0	DIALOGUE	D6	D6	RORY	3	T1	I’m so sorry I’m late.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	10	L6	S0	DIALOGUE	D7	D7	RORY	3	D6	Hi Grandma, Hi Grandma.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	11	L7	S0	DIALOGUE	D8	D8	RICHARD	2	D7	Hello Rory.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	12	L8	S0	DIALOGUE	D9	D9	LORELAI	0	D8	Oh, now he closes the paper.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	13	L9	S0	DIALOGUE	D10	D10	RORY	3	D9	Hey, Mom, I stopped by the bookstore on the way here.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	14	L10	S0	DIALOGUE	D11	D11	LORELAI	0	D10	You got them?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	15	L11	S0	DIALOGUE	D12	D12	RORY	3	D11	I got them!
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	16	L12	S0	DIALOGUE	D13	D13	EMILY	1	D12	Got what?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	17	L13	S0	DIALOGUE	D14	D14	LORELAI	0	D13	Rory and I are starting to plan our Europe trip.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	18	L14	S0	DIALOGUE	D15	D15	RORY	3	D14	The day after graduation, we are gone.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	19	L15	S0	DIALOGUE	D16	D16	RICHARD	2	D15	Well, that sounds very exciting.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	20	L16	S0	DIALOGUE	D17	D17	EMILY	1	D16	Lorelai, what are these?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	21	L17	S0	DIALOGUE	D18	D18	LORELAI	0	D17	Those are guidebooks.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	22	L18	S0	DIALOGUE	D19	D19	EMILY	1	D18	“Europe Through the Backdoor.”
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	23	L18	S0	DIALOGUE	D20	D20	EMILY	1	D19	“The Rough Guide to Europe.”
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	24	L18	S0	DIALOGUE	D21	D21	EMILY	1	D20	What kind of guidebooks are these?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	25	L19	S0	DIALOGUE	D22	D22	LORELAI	0	D21	The cheap kind.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	26	L20	S0	DIALOGUE	D23	D23	RORY	3	D22	They have all the good information about backpacking and staying in hostels.
